5,148,1.414117,4.940287,one
23,9068,0.001636,1.017204,one
4,26,10.125824,10.268472,one
57,20931,0.000697,15.198770,one
73,19577,0.001184,10.563225,one
39,11465,0.000810,7.799633,one
41,10457,0.000377,6.454967,one
50,3261,0.000294,16.011632,one
2,600,5.833418,5.833418,one
2,600,5.835894,5.835894,one
2,600,5.833962,5.833962,one
2,600,5.840385,5.840385,one
2,600,5.833887,5.833887,one
2,600,5.837172,5.837172,one
2,600,5.830388,5.830388,one
2,600,5.832887,5.832887,one
6,395,0.754085,8.233724,one
3,66,1.850282,2.261118,one
3,435,0.013187,0.013513,one
148,7400,0.001065,18.229617,one
102,2448,0.000243,18.537917,one
3,336,0.006607,0.006644,one
6,300,0.116260,1.615845,one
4,88,0.099492,0.215518,one
3,336,0.003088,0.003361,one
6,300,0.018690,0.770336,one
8,176,0.018931,1.756931,one
24,1200,0.053104,2.065002,one
16,352,0.035047,0.665174,one
16,800,0.671654,13.609642,one
10,220,0.410407,8.966695,one
2,154,9.766676,9.766676,one
2,228,0.003958,0.003958,one
3,150,0.750124,1.500117,one
2,180,0.099931,0.099931,one
2,224,0.004505,0.004505,one
3,150,0.750892,1.500901,one
2,44,0.409743,0.409743,one
6,300,0.749955,11.085781,one
4,88,0.409230,9.995811,one
3,150,0.759163,1.508320,one
2,44,0.100598,0.100598,one
12,600,0.001017,1.533458,one
8,176,0.001166,0.133678,one
11,550,0.752920,18.499978,one
7,147,4.580173,15.004620,one
14,923,0.764506,14.991629,one
6,144,0.108670,13.564829,one
3,336,0.017523,0.017553,one
12,600,0.750003,15.093365,one
8,176,0.099957,13.693275,one
4,200,0.799997,10.500422,one
2,48,0.410773,0.410773,one
6,300,0.027124,1.526284,one
4,88,0.027471,0.126762,one
3,150,0.751212,1.502145,one
2,44,0.410104,0.410104,one
9,450,0.622539,16.184692,one
56,2800,0.014802,16.813910,one
40,886,0.004888,16.159317,one
3,150,0.754478,1.504531,one
2,44,0.410335,0.410335,one
65,10271,0.001078,10.561092,one
18,4621,0.001509,10.561163,one
49,14128,0.006204,10.561070,one
265,182833,0.000670,10.642992,one
